RHC;;;
Fecha;Componente;Valor;UOM
12/01/2015 5:52:06;10% RECOGIDO;378;§C
12/01/2015 5:52:06;20% RECOGIDO;411;§C
12/01/2015 5:52:06;30% RECOGIDO;428;§C
12/01/2015 5:52:06;5% RECOGIDO;353;§C
12/01/2015 5:52:06;50% RECOGIDO;459;§C
12/01/2015 5:52:06;70% RECOGIDO;488;§C
12/01/2015 5:52:06;80% RECOGIDO;510;§C
12/01/2015 5:52:06;90% RECOGIDO;538;§C
12/01/2015 5:52:06;95% RECOGIDO;570;§C
12/01/2015 5:52:06;AZUFRE;4.2;mg/kg
12/01/2015 5:52:06;COLOR ASTM;<4.0;-
12/01/2015 5:52:06;DENSIDAD 15§C;0.8473;Kg/L
12/01/2015 5:52:06;I. VISCOSIDAD NOR 4.3 CST A 100§C;129;-
12/01/2015 5:52:06;INDICE VISCOSIDAD;132;-
12/01/2015 5:52:06;NITROGENO;<0.5;mg/kg
12/01/2015 5:52:06;P.FINAL;602;§C
12/01/2015 5:52:06;P.INICIAL;251;§C
12/01/2015 5:52:06;VISCOSIDAD A 100§C;4.673;mmý/s
12/01/2015 5:52:06;VISCOSIDAD A 65§C;10.129;mmý/s
13/01/2015 19:51:43;AZUFRE;<1.0;mg/kg
13/01/2015 19:51:43;DENSIDAD 15§C;0.8466;Kg/L
13/01/2015 19:51:43;I. VISCOSIDAD NOR 4.3 CST A 100§C;122;-
13/01/2015 19:51:43;INDICE VISCOSIDAD;126;-
13/01/2015 19:51:43;NITROGENO;6.02;mg/kg
13/01/2015 19:51:43;VISCOSIDAD A 100§C;4.642;mmý/s
13/01/2015 19:51:43;VISCOSIDAD A 65§C;10.159;mmý/s
14/01/2015 6:15:06;1% RECOGIDO;;§C
14/01/2015 6:15:06;10% RECOGIDO;;§C
14/01/2015 6:15:06;20% RECOGIDO;;§C
14/01/2015 6:15:06;30% RECOGIDO;;§C
14/01/2015 6:15:06;5% RECOGIDO;;§C
14/01/2015 6:15:06;50% RECOGIDO;;§C
14/01/2015 6:15:06;70% RECOGIDO;;§C
14/01/2015 6:15:06;80% RECOGIDO;;§C
14/01/2015 6:15:06;90% RECOGIDO;;§C
14/01/2015 6:15:06;95% RECOGIDO;;§C
14/01/2015 6:15:06;AZUFRE;;mg/kg
14/01/2015 6:15:06;COLOR ASTM;;-
14/01/2015 6:15:06;DENSIDAD 15§C;;Kg/L
14/01/2015 6:15:06;I. VISCOSIDAD NOR 4.3 CST A 100§C;;-
14/01/2015 6:15:06;INDICE VISCOSIDAD;;-
14/01/2015 6:15:06;NITROGENO;;mg/kg
14/01/2015 6:15:06;P.FINAL;;§C
14/01/2015 6:15:06;P.INICIAL;;§C
14/01/2015 6:15:06;VISCOSIDAD A 100§C;;mmý/s
14/01/2015 6:15:06;VISCOSIDAD A 65§C;;mmý/s
14/01/2015 15:37:56;DENSIDAD 15§C;0.8456;Kg/L
14/01/2015 15:37:56;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
15/01/2015 6:24:25;AZUFRE;3.2;mg/kg
15/01/2015 6:24:25;DENSIDAD 15§C;0.8474;Kg/L
15/01/2015 6:24:25;I. VISCOSIDAD NOR 4.3 CST A 100§C;122;-
15/01/2015 6:24:25;INDICE VISCOSIDAD;124;-
15/01/2015 6:24:25;NITROGENO;<0.5;mg/kg
15/01/2015 6:24:25;VISCOSIDAD A 100§C;4.541;mmý/s
15/01/2015 6:24:25;VISCOSIDAD A 65§C;9.897;mmý/s
16/01/2015 6:00:32;AZUFRE;3.3;mg/kg
16/01/2015 6:00:32;DENSIDAD 15§C;0.8451;Kg/L
16/01/2015 6:00:32;I. VISCOSIDAD NOR 4.3 CST A 100§C;122;-
16/01/2015 6:00:32;INDICE VISCOSIDAD;124;-
16/01/2015 6:00:32;NITROGENO;6.0;mg/kg
16/01/2015 6:00:32;VISCOSIDAD A 100§C;4.473;mmý/s
16/01/2015 6:00:32;VISCOSIDAD A 65§C;9.711;mmý/s
17/01/2015 13:18:52;AZUFRE;3.49;mg/kg
17/01/2015 13:18:52;COLOR ASTM;<4.0;-
17/01/2015 13:18:52;DENSIDAD 15§C;0.8464;Kg/L
17/01/2015 13:18:52;I. VISCOSIDAD NOR 4.3 CST A 100§C;127;-
17/01/2015 13:18:52;INDICE VISCOSIDAD;134;-
17/01/2015 13:18:52;NITROGENO;2.3;mg/kg
17/01/2015 13:18:52;VISCOSIDAD A 100§C;4.990;mmý/s
17/01/2015 13:18:52;VISCOSIDAD A 65§C;10.991;mmý/s
20/01/2015 21:25:17;DENSIDAD 15§C;0.8442;Kg/L
20/01/2015 21:25:17;I. VISCOSIDAD NOR 4.3 CST A 100§C;129;-
20/01/2015 21:25:17;INDICE VISCOSIDAD;135;-
20/01/2015 21:25:17;NITROGENO;3.7;mg/kg
20/01/2015 21:25:17;VISCOSIDAD A 100§C;4.916;mmý/s
20/01/2015 21:25:17;VISCOSIDAD A 65§C;10.757;mmý/s
21/01/2015 5:55:03;1% RECOGIDO;299;§C
21/01/2015 5:55:03;10% RECOGIDO;383;§C
21/01/2015 5:55:03;20% RECOGIDO;406;§C
21/01/2015 5:55:03;30% RECOGIDO;416;§C
21/01/2015 5:55:03;5% RECOGIDO;367;§C
21/01/2015 5:55:03;50% RECOGIDO;436;§C
21/01/2015 5:55:03;70% RECOGIDO;458;§C
21/01/2015 5:55:03;80% RECOGIDO;474;§C
21/01/2015 5:55:03;90% RECOGIDO;504;§C
21/01/2015 5:55:03;95% RECOGIDO;535;§C
21/01/2015 5:55:03;AZUFRE;3.64;mg/kg
21/01/2015 5:55:03;COLOR ASTM;<3.5;-
21/01/2015 5:55:03;DENSIDAD 15§C;0.8458;Kg/L
21/01/2015 5:55:03;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
21/01/2015 5:55:03;INDICE VISCOSIDAD;135;-
21/01/2015 5:55:03;NITROGENO;;mg/kg
21/01/2015 5:55:03;P.FINAL;565;§C
21/01/2015 5:55:03;P.INICIAL;289;§C
21/01/2015 5:55:03;VISCOSIDAD A 100§C;4.807;mmý/s
21/01/2015 5:55:03;VISCOSIDAD A 65§C;10.462;mmý/s
24/01/2015 9:06:04;1% RECOGIDO;297;§C
24/01/2015 9:06:04;10% RECOGIDO;385;§C
24/01/2015 9:06:04;20% RECOGIDO;408;§C
24/01/2015 9:06:04;30% RECOGIDO;419;§C
24/01/2015 9:06:04;5% RECOGIDO;367;§C
24/01/2015 9:06:04;50% RECOGIDO;439;§C
24/01/2015 9:06:04;70% RECOGIDO;461;§C
24/01/2015 9:06:04;80% RECOGIDO;478;§C
24/01/2015 9:06:04;90% RECOGIDO;508;§C
24/01/2015 9:06:04;95% RECOGIDO;539;§C
24/01/2015 9:06:04;AZUFRE;3.4;mg/kg
24/01/2015 9:06:04;COLOR ASTM;3.5;-
24/01/2015 9:06:04;DENSIDAD 15§C;0.8461;Kg/L
24/01/2015 9:06:04;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
24/01/2015 9:06:04;INDICE VISCOSIDAD;136;-
24/01/2015 9:06:04;NITROGENO;1.4;mg/kg
24/01/2015 9:06:04;P.FINAL;570;§C
24/01/2015 9:06:04;P.INICIAL;287;§C
24/01/2015 9:06:04;VISCOSIDAD A 100§C;4.931;mmý/s
24/01/2015 9:06:04;VISCOSIDAD A 65§C;10.790;mmý/s
28/01/2015 6:11:55;1% RECOGIDO;293;§C
28/01/2015 6:11:55;10% RECOGIDO;369;§C
28/01/2015 6:11:55;20% RECOGIDO;393;§C
