RHC;;;
Fecha;Componente;Valor;UOM
30/04/2014 5:07:19;VISCOSIDAD A 100§C;4.610;mm2/S
30/04/2014 5:07:19;VISCOSIDAD A 65§C;9.799;mm2/S
07/05/2014 5:08:42;1% RECOGIDO;326;§C
07/05/2014 5:08:42;5% RECOGIDO;384;§C
07/05/2014 5:08:42;10% RECOGIDO;405;§C
07/05/2014 5:08:42;20% RECOGIDO;417;§C
07/05/2014 5:08:42;30% RECOGIDO;428;§C
07/05/2014 5:08:42;50% RECOGIDO;443;§C
07/05/2014 5:08:42;70% RECOGIDO;460;§C
07/05/2014 5:08:42;80% RECOGIDO;480;§C
07/05/2014 5:08:42;90% RECOGIDO;512;§C
07/05/2014 5:08:42;95% RECOGIDO;545;§C
07/05/2014 5:08:42;P.FINAL;578;§C
07/05/2014 5:08:42;P.INICIAL;318;§C
07/05/2014 5:08:42;AZUFRE;3.1;mg/Kg
07/05/2014 5:08:42;COLOR ASTM;3.0;-
07/05/2014 5:08:42;DENSIDAD 15§C;0.8409;Kg/L
07/05/2014 5:08:42;DESTILACION:;;.
07/05/2014 5:08:42;I. VISCOSIDAD NOR 4.3 CST A 100§C;134;-
07/05/2014 5:08:42;INDICE VISCOSIDAD;139;-
07/05/2014 5:08:42;NITROGENO;2.1;mg/Kg
07/05/2014 5:08:42;VISCOSIDAD A 100§C;4.862;mm2/S
07/05/2014 5:08:42;VISCOSIDAD A 65§C;10.53;mm2/S
11/05/2014 6:13:14;1% RECOGIDO;325;§C
11/05/2014 6:13:14;5% RECOGIDO;380;§C
11/05/2014 6:13:14;10% RECOGIDO;401;§C
11/05/2014 6:13:14;20% RECOGIDO;414;§C
11/05/2014 6:13:14;30% RECOGIDO;424;§C
11/05/2014 6:13:14;50% RECOGIDO;440;§C
11/05/2014 6:13:14;70% RECOGIDO;456;§C
11/05/2014 6:13:14;80% RECOGIDO;476;§C
11/05/2014 6:13:14;90% RECOGIDO;508;§C
11/05/2014 6:13:14;95% RECOGIDO;542;§C
11/05/2014 6:13:14;P.FINAL;576;§C
11/05/2014 6:13:14;P.INICIAL;317;§C
11/05/2014 6:13:14;AZUFRE;3.4;mg/Kg
11/05/2014 6:13:14;COLOR ASTM;3.0;-
11/05/2014 6:13:14;DENSIDAD 15§C;0.8482;Kg/L
11/05/2014 6:13:14;DESTILACION:;;.
11/05/2014 6:13:14;I. VISCOSIDAD NOR 4.3 CST A 100§C;134;-
11/05/2014 6:13:14;INDICE VISCOSIDAD;138;-
11/05/2014 6:13:14;NITROGENO;0.7;mg/Kg
11/05/2014 6:13:14;VISCOSIDAD A 100§C;4.663;mm2/S
11/05/2014 6:13:14;VISCOSIDAD A 65§C;10.01;mm2/S
12/05/2014 7:01:44;1% RECOGIDO;320;§C
12/05/2014 7:01:44;5% RECOGIDO;373;§C
12/05/2014 7:01:44;10% RECOGIDO;395;§C
